DB2_T1;11718522,3426990,1427939495,9,5,89,19,9,13,35,9,0,37,14,5,21,8,0,52,16,5,54,14,5,485,41,93,-3,-7,16,13,35,8,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,1,3,0,324,224,98,0,0,12,34,-11,0,4,-1,0,32,-13,14,0,0,0,21,-10,0,18,-9,6,0,0,0,30,-15,0,50,-26,7,50,-28,7,19,-11,6
DB2_T2;11410699,2266207,1427935000,-6,0,19,-53,3,26,-8,0,28,-49,4,27,-6,0,26,-30,3,26,0,0,2,0,0,0,0,0,0,-19,2,0,-1,0,0,-82,11,26,-6,1,5,-48,8,31,-3,1,3,-50,8,17,-49,9,10,-50,9,15,0,0,18,0,0,1,0,0,0,0,0,0,-48,9,0,-1,0,0,-49,10,20,-48,10,11,-49,10,11,-5,1,4,-2,0,11,0,0,0,0,0,0,0,0,0,-48,8,0,-49,9,8,-49,10,10,-51,10,6,-51,9,7,-50,9,8,-52,11,7,-63,12,7,-48,10,5,-51,9,5,-50,10,5,-48,10,6,-27,6,6,0,0,0,-28,7,0,-55,16,5,-46,16,5,-54,19,6,-49,17,4,-46,20,5,-45,20,5,-45,26,7,-48,27,11,-40,27,9,0,0,7,0,0,0,-3,2,0,-44,31,0,-14,10,9,0,0,0,0,0,0,-31,22,0,-49,34,5,-7,5,5,0,0,0,0,0,0,-38,27,0,-46,31,5,-47,33,5,-20,16,6,0,0,0,-19,14,0,-1,1,6,0,0,0,0,0,0,-42,33,0,-41,32,4,-41,29,5,-7,4,7,0,0,0,0,0,0,-40,26,0,-42,25,4,-44,27,7,-43,21,6,-53,23,5,0,0,0,-3,1,0,-57,20,4,-61,15,4,-59,13,3,-49,8,3,-55,8,3,-51,7,3,-49,7,3,-61,7,3,-19,3,3,0,0,0,-37,5,0,-57,7,3,-57,10,3,-57,11,3,-62,14,3,-50,13,3,-52,15,3,-49,16,3,-59,20,4,-52,19,3,-41,17,3,0,0,3,0,0,0,-5,2,0,-47,22,0,-55,25,3,-54,27,3,-57,31,3,-49,29,3,0,0,3,0,0,0,-2,1,0,-51,33,0,-51,34,3,-48,34,3,-42,31,2,-11,9,3,0,0,0,-40,30,0,-53,38,3,-52,38,3,-59,38,3,-52,32,2,-46,27,2,-49,27,2,-54,26,2,-55,26,2,-5,2,2,0,0,0,-49,20,0,-52,20,2,-31,12,2,0,0,0,-22,7,0,-61,20,2,-51,14,2,-51,14,2,-52,12,2,-50,10,2,-50,8,2,-50,6,2,-57,6,2,-73,8,3,-69,7,3,-68,7,3,-65,7,3,-74,8,3,-16,2,3,0,0,0,-52,6,0,-70,7,3,-71,8,3,-50,6,2,-52,4,2,-60,6,2,-28,3,2,0,0,0,-23,2,0,-52,6,2,-20,2,2,0,0,0,-31,3,0,-51,5,2,-72,6,3,-50,5,2,-57,3,2,-68,2,3,-70,1,3,-31,1,2,0,0,0,-19,0,0,-50,-1,2,-53,-1,2,-54,-1,2,-65,-1,2,-56,-2,2,-55,-1,2,-53,-1,2,-53,-1,2,-51,-1,2,-51,-2,2,-17,0,2,30,0,378,-20,0,6,-10,0,0,-39,-1,0,-68,-1,0,-72,1,0,-67,0,0,-63,0,0,-40,0,0,0,0,0,-24,4,0,0,0,0,-1,0,0,-52,10,0,-47,16,0,-49,26,0,-14,39,0,23,46,0,53,12,0,47,-47,0,8,-47,0,6,-57,0,7,-58,0,14,-49,0,21,-41,0,12,-19,0,0,0,0,17,-19,0,49,-37,0,4,-3,0,0,0,0,0,0,0,41,-23,0,12,-6,0,0,0,0,0,0,0,32,-16,0,64,-23,0,57,-18,0,66,-15,0,57,3,0,47,39,0,1,54,0,-37,45,0,-33,40,0,-10,53,0,2,29,0,0,0,0,6,25,0,4,19,0,0,0,0,6,28,0,3,16,0,1,2,0,0,0,0,4,18,0,0,0,0,7,27,0,0,1,0,0,0,0,11,49,0,9,39,0,0,0,0,1,5,0,13,53,0,11,51,0,11,48,0,1,4,0,0,0,0,0,0,0,11,45,0,12,49,0,1,6,0,0,0,0,0,0,0,5,22,0,0,0,0,7,30,0,7,32,0,3,13,0,3,11,0,1,5,0,9,68,0,-11,-19,0,-15,-66,0,-9,-43,0,-7,-28,0,0,0,0,-5,-22,0,0,0,0,0,-2,0,-11,-45,0,-9,-40,0,0,0,0,-2,-8,0,-1,-4,0,0,0,0,0,0,0,-9,-42,0,-11,-51,0,-6,-22,0,0,0,0,-8,-36,0,-3,-12,0,0,0,0,-9,-39,0,-12,-48,0,0,0,0,-11,-49,0,0,0,0,11,49,0,0,-1,0,-10,-44,0,-1,-4,0
DB2_T3;10406341,3060883,1427930684,-71,1,3,-21,0,0,-46,2,3,-65,0,3,-50,1,3,-18,0,0,-11,0,3,-8,0,0,-54,0,0,-61,1,3,-11,0,0,-56,0,3,0,0,0,-18,0,0,-54,1,2,-27,1,2,-27,0,0,-75,1,3,-47,1,2,0,0,0,-13,0,0,-75,0,3,-75,-8,3,-62,-15,3,-9,-4,0,-23,-8,0,-9,-3,3
DB2_T4;10696556,2703474,1427929351,-67,-33,14,-57,-28,9,-24,-12,5,0,0,0,-21,-10,0,-56,-27,5,-65,-32,5,-59,-29,4,-61,-34,5,-59,-42,5,-62,-46,8,-63,-48,4,-63,-47,5,-24,-18,5,0,0,0,-38,-20,0,-75,-21,5,-52,-13,5,0,0,0,-23,-6,0,-22,-5,4,0,0,0,-48,-12,0,-59,-41,4,-41,-46,5,-52,-35,5,-72,-7,4,-75,13,4,-84,-3,10,-84,-49,4,-36,-71,5,22,-129,10,25,-72,4,18,-54,5,5,-16,0,1,-3,0,14,-72,5,-2,-86,4,-11,-75,5,-13,-76,5,-15,-72,4,-35,-65,9,-67,-58,5,-71,-50,5,-54,-53,5,-29,-64,5,-20,-60,5,-1,-3,0,-22,-70,4,-26,-77,4,-5,-15,0,-22,-63,5,-37,-69,4,-45,-63,5,-39,-54,4
DB2_T5;10694288,2699631,1427929711,-21,-70,5,31,-64,5,9,-12,0,35,-52,5,31,-61,4,19,-64,4,5,-21,0,6,-82,10,0,-21,0,-2,-107,10,0,-26,0,10,-102,9,2,-7,0,13,-50,8,16,-45,4,0,0,4,0,0,0,3,-8,0,20,-40,0,8,-14,0,0,0,0,40,-68,10,23,-40,4,35,-61,10,14,-77,10,-30,-96,18,-35,-42,9,-19,-21,0,-11,-14,14,0,0,0,-18,-53,0,51,-82,15,55,-13,9,4,0,0,0,0,0,34,3,13,0,0,0,18,4,0,0,0,0,29,8,0,77,21,4,75,21,5,64,22,5,76,32,4,78,39,5,70,41,5,67,39,5,24,14,4,0,0,0,26,12,0,0,0,0,6,2,0,76,2,4,54,-48,5,-24,-95,14,-23,-30,0,-32,-59,5,-10,-70,4,18,-69,4,49,-71,5,47,-59,5,8,-11,5,0,0,0,42,-47,0,3,-3,0,62,-34,4,62,-3,5,27,5,4,0,0,0,48,13,0,7,2,0,75,24,5,85,26,5,834,-135,69,-34,-46,5,-65,-44,5,-66,-23,4,-74,-20,5,-34,-10,4,0,0,0,-35,-11,0,-14,-5,4,0,0,0,-54,-20,0,-6,-3,5,0,0,0,-42,-35,0,-14,-51,0,23,-57,9,35,-54,5,29,-60,4,-160,-778,70,11,-7,0,54,-30,5,102,-56,5,4,-2,9,0,0,0,1,-1,0,-175,-464,101,-9,-26,0,6,-114,10,16,-33,0,26,-74,5,-30,-138,9,-25,-66,5,-5,-114,9,14,-63,4,2,-8,0,25,-51,5,41,-54,4,60,-54,9,0,0,5,1,-1,0,57,-31,0,85,-36,5,74,-32,4,64,-36,5,54,-48,5,33,-56,5,20,-66,4,16,-70,4,8,-37,4,0,0,0,11,-44,0,10,-38,5,0,0,0,11,-52,0,22,-78,5,40,-56,9,1,-1,5,0,0,0,0,0,0,47,-29,0,17,-7,5,0,0,0,49,-16,0,8,-4,4,0,0,0,51,-45,0,16,-65,4,3,-76,5,1,-129,10,-29,-73,4,-52,-46,4,-16,-13,5,0,0,0,-29,-27,0,-22,-51,5,0,-1,0,11,-73,9,1,-4,0,35,-63,5,17,-62,4,-7,-33,0,-44,-74,10,-19,-61,4,4,-121,9,5,-52,0,1,-53,10,0,-14,0,0,-1,0,0,-5,0,0,-74,9,-1,-16,9,0,0,0,-7,-17,0,0,0,0,-6,-14,0,-40,-53,5,-13,-13,4,0,0,0,-37,-36,0,0,0,0,-3,-3,0,-49,-58,4,-39,-63,5,-24,-67,5,23,-149,10,54,-71,4,56,-37,4,51,-24,5,0,0,0,30,-14,0,83,-36,5
